danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Position,Genres,Artist_Name,Date
0.795,0.594,0,-6.2,1,0.0748,0.112,0.0,0.162,0.409,135.002,275080,4,70,pop**r&b**rap,SZA,6/26/17
0.553,0.747,9,-5.432,1,0.0279,0.106,0.0,0.154,0.521,90.012,234307,4,79,contemporary country**country**country road**modern country rock,Billy Currington,6/26/17
0.744,0.859,11,-3.166,1,0.0795,0.0256,6.27e-05,0.0881,0.787,91.977,232787,4,89,latin**latin hip hop**reggaeton**trap latino,Wisin,6/26/17
0.612,0.799,10,-4.603,1,0.0275,0.00898,0.0,0.172,0.687,125.976,188253,4,93,black americana**contemporary country**country road,Kane Brown,6/26/17
0.822,0.502,7,-7.38,1,0.148,0.0312,0.000887,0.114,0.525,73.003,210200,4,95,atl hip hop**gangster rap**hip hop**pop rap**rap**southern hip hop**trap,2 Chainz,6/26/17
0.735,0.831,9,-5.898,1,0.0332,0.00166,0.217,0.291,0.756,123.017,216800,4,100,contemporary country**country**country road**modern country rock**modern southern rock,Brothers Osborne,6/26/17
0.613,0.681,8,-3.089,1,0.0778,0.0287,0.0,0.126,0.619,97.621,204664,4,4,dirty south rap**hip hop**miami hip hop**pop**pop rap**rap**southern hip hop**trap,DJ Khaled,7/3/17
0.893,0.745,11,-3.105,0,0.0571,0.0642,0.0,0.0943,0.872,101.018,223413,4,51,dance pop**edm**electro house**house**pop**pop rap**progressive house**uk dance,Calvin Harris,7/3/17
0.806,0.557,2,-6.633,0,0.114,0.405,6.62e-06,0.0838,0.504,140.011,180000,4,61,florida rap**hip hop**melodic rap**miami hip hop**rap**southern hip hop**trap,Kodak Black,7/3/17
0.842,0.597,2,-6.336,1,0.0627,0.00252,0.0,0.124,0.298,145.992,215307,4,83,atl hip hop**atl trap**gangster rap**hip hop**melodic rap**pop rap**rap**trap,Young Thug,7/3/17
0.801,0.795,1,-5.115,0,0.0504,0.0417,0.000113,0.0717,0.754,79.028,163253,4,89,indie rock**modern alternative rock**modern rock**rock,Portugal. The Man,7/3/17
0.559,0.531,10,-6.981,0,0.404,0.0137,0.0,0.293,0.333,144.367,231674,4,100,dirty south rap**gangster rap**hip hop**miami hip hop**pop rap**r&b**rap**southern hip hop**trap**urban contemporary,Plies,7/3/17
0.794,0.735,0,-4.204,1,0.054,0.108,0.00578,0.112,0.223,107.374,234373,4,36,canadian hip hop**canadian pop**hip hop**rap**toronto rap,Drake,7/10/17
0.914,0.572,2,-8.82,1,0.166,0.0709,0.00237,0.0599,0.203,123.963,265480,4,71,hip hop**pop rap**rap**southern hip hop**trap**underground hip hop,Metro Boomin,7/10/17
0.542,0.755,1,-3.68,1,0.0614,0.0232,0.0,0.225,0.267,168.22,233293,4,88,dirty south rap**hip hop**miami hip hop**pop**pop rap**rap**southern hip hop**trap,DJ Khaled,7/10/17
0.728,0.607,1,-8.417,0,0.132,0.133,0.0,0.0864,0.445,129.938,176702,4,94,alternative r&b**dmv rap**hip hop**indie soul**r&b**rap**underground hip hop,GoldLink,7/10/17
0.76,0.716,11,-6.36,0,0.0817,0.0223,0.0,0.231,0.469,105.007,209733,4,70,latin**reggaeton**reggaeton colombiano**trap latino,J Balvin,7/17/17
0.91,0.444,1,-8.126,0,0.344,0.022,0.0,0.137,0.53,149.953,276333,4,78,dirty south rap**gangster rap**hip hop**memphis hip hop**pop rap**rap**southern hip hop**tennessee hip hop**trap,Yo Gotti,7/17/17
0.706,0.485,8,-9.671,1,0.331,0.337,0.0,0.122,0.144,115.414,205093,4,87,hip hop**rap,"Tyler, The Creator",7/17/17
0.596,0.834,9,-4.308,1,0.0474,0.0563,0.0,0.0866,0.618,116.0,205200,4,89,contemporary country**country**country road**modern country rock,Jon Pardi,7/17/17
0.831,0.573,4,-6.408,0,0.221,0.188,0.000883,0.109,0.229,100.015,246173,4,99,atl hip hop**hip hop**pop rap**rap**southern hip hop**trap,Future,7/17/17
0.741,0.718,7,-5.823,1,0.415,0.283,2.21e-06,0.23,0.576,165.848,231760,4,23,east coast hip hop**hip hop**rap,JAY-Z,7/24/17
0.543,0.39,10,-7.202,1,0.0322,0.489,0.0,0.111,0.303,73.415,230267,4,25,dance pop**electropop**pop**post-teen pop,Kesha,7/24/17
0.884,0.346,8,-8.228,0,0.351,0.0151,7.04e-06,0.0871,0.376,75.016,220307,4,33,atl hip hop**rap**trap,21 Savage,7/24/17
0.261,0.852,9,-4.965,1,0.158,0.139,4.26e-05,0.477,0.431,177.997,284493,4,35,east coast hip hop**hip hop**rap,JAY-Z,7/24/17
0.639,0.788,6,-2.879,1,0.35,0.455,0.0,0.058,0.847,155.913,234973,4,47,east coast hip hop**hip hop**rap,JAY-Z,7/24/17
0.543,0.721,1,-6.805,1,0.317,0.17,1.06e-06,0.59,0.499,82.992,251413,4,51,east coast hip hop**hip hop**rap,JAY-Z,7/24/17
0.706,0.643,11,-6.929,0,0.234,0.0242,0.0,0.262,0.885,143.931,203760,4,52,dance pop**pop**post-teen pop,Demi Lovato,7/24/17
0.542,0.821,10,-6.458,0,0.32,0.133,1.34e-06,0.57,0.286,84.425,178067,4,55,east coast hip hop**hip hop**rap,JAY-Z,7/24/17
0.779,0.57,5,-8.752,0,0.469,0.303,0.0,0.218,0.467,99.878,289853,4,56,east coast hip hop**hip hop**rap,JAY-Z,7/24/17
0.813,0.837,1,-6.356,1,0.298,0.166,0.0,0.0835,0.744,84.965,206133,4,63,east coast hip hop**hip hop**rap,JAY-Z,7/24/17
0.758,0.633,5,-8.373,0,0.391,0.236,0.0,0.272,0.516,88.17,143987,4,86,east coast hip hop**hip hop**rap,JAY-Z,7/24/17
0.731,0.794,0,-5.126,0,0.0522,0.0323,2.59e-05,0.112,0.356,139.994,220454,4,89,pop rap**seattle hip hop,Macklemore,7/24/17
0.518,0.678,10,-6.76,1,0.331,0.542,0.0,0.108,0.604,81.951,174427,4,90,east coast hip hop**hip hop**rap,JAY-Z,7/24/17
0.718,0.926,1,-3.511,1,0.0494,0.027,1.76e-05,0.0513,0.54,108.018,204583,4,91,complextro**dance pop**edm**electro house**electropop**german techno**pop**pop dance**tropical house,Zedd,7/24/17
0.708,0.618,2,-4.424,1,0.0592,0.0204,6.81e-06,0.062,0.265,123.013,186113,4,92,dance pop**pop**post-teen pop,Selena Gomez,7/24/17
0.779,0.597,9,-9.652,0,0.434,0.723,4.47e-05,0.0508,0.646,173.986,234280,4,94,atl hip hop**rap**trap,21 Savage,7/24/17
0.516,0.792,1,-5.38,0,0.216,0.0235,0.0,0.404,0.524,121.189,226790,5,75,hip hop**pop rap**rap**southern hip hop**trap,French Montana,7/31/17
0.799,0.539,1,-6.351,1,0.0421,0.199,1.66e-05,0.165,0.394,136.948,202547,4,91,pop**pop r&b,Khalid,7/31/17
0.743,0.765,5,-3.588,0,0.039,0.0444,0.0417,0.667,0.34,114.991,196360,4,96,dance pop**electropop**pop**post-teen pop,Kesha,7/31/17
0.683,0.53,5,-4.918,0,0.142,0.207,0.0,0.394,0.645,75.016,190428,4,40,pop**post-teen pop,Louis Tomlinson,8/7/17
0.727,0.932,1,-4.931,1,0.16,0.098,0.0,0.211,0.662,114.032,190720,4,61,disney**post-teen pop**social media pop,China Anne McClain,8/7/17
0.784,0.608,7,-5.885,1,0.245,0.167,0.0,0.0871,0.382,90.713,211685,4,77,hip hop**philly rap**pop rap**rap**southern hip hop**trap,Meek Mill,8/7/17
0.683,0.854,2,-3.915,1,0.196,0.0948,0.0,0.267,0.131,92.006,189057,4,79,hip hop**philly rap**pop rap**rap**southern hip hop**trap,Meek Mill,8/7/17
0.63,0.628,2,-4.016,1,0.327,0.0515,0.0,0.091,0.266,121.307,282667,5,83,hip hop**philly rap**pop rap**rap**southern hip hop**trap,Meek Mill,8/7/17
0.737,0.709,8,-6.889,0,0.045,0.333,0.0,0.289,0.556,125.997,234829,4,91,bachata**latin,Romeo Santos,8/7/17
0.624,0.728,0,-6.39,1,0.465,0.141,0.0,0.106,0.599,152.088,227957,4,96,hip hop**philly rap**pop rap**rap**southern hip hop**trap,Meek Mill,8/7/17
0.86,0.717,11,-4.614,0,0.297,0.00246,0.0,0.159,0.528,148.955,257854,4,97,hip hop**philly rap**pop rap**rap**southern hip hop**trap,Meek Mill,8/7/17
0.472,0.695,10,-5.008,0,0.443,0.239,0.0,0.0942,0.351,73.031,250467,3,99,hip hop**philly rap**pop rap**rap**southern hip hop**trap,Meek Mill,8/7/17
0.807,0.736,7,-6.748,1,0.151,0.109,0.00729,0.104,0.54,154.023,242933,4,38,atl hip hop**hip hop**pop rap**rap**southern hip hop**trap,Future,8/14/17
0.661,0.75,7,-5.497,1,0.0314,0.0303,0.000132,0.0849,0.828,130.077,157080,4,68,contemporary country**country**country road**modern country rock,Thomas Rhett,8/14/17
0.551,0.801,6,-5.069,1,0.0303,0.013,6.03e-06,0.265,0.625,128.027,240760,4,85,contemporary country**country,Luke Combs,8/14/17
0.434,0.921,10,-2.248,0,0.0688,0.0207,0.00209,0.116,0.426,171.945,195307,4,87,contemporary country**country**country road,Jason Aldean,8/14/17
0.673,0.514,0,-10.772,0,0.0465,0.0121,8.5e-05,0.385,0.312,100.035,208000,4,88,dance pop**edm**electropop**pop**pop dance**tropical house,The Chainsmokers,8/14/17
0.4,0.366,8,-9.405,0,0.0597,0.242,0.0,0.126,0.161,73.313,272187,3,89,pop**r&b**rap,SZA,8/14/17
0.762,0.7,9,-6.021,0,0.0694,0.00261,1.56e-05,0.153,0.608,116.073,209320,4,90,dance pop**pop**uk pop,Dua Lipa,8/14/17
0.649,0.718,0,-6.593,0,0.0261,0.142,0.0713,0.124,0.718,101.034,274093,4,93,modern alternative rock**modern blues rock**modern rock**rock**stomp and holler,The Revivalists,8/14/17
0.636,0.428,0,-6.512,1,0.0375,0.434,1.02e-05,0.0907,0.32,139.919,180053,4,94,contemporary country**country**country pop,Carly Pearce,8/14/17
0.515,0.847,5,-2.951,1,0.0391,0.00369,7.19e-05,0.293,0.645,168.105,217547,4,97,dance pop**electropop**pop**post-teen pop,Kesha,8/14/17
0.612,0.848,6,-3.736,1,0.0368,0.00916,0.0,0.366,0.719,120.996,212893,4,98,contemporary country**country**country road,Kenny Chesney,8/14/17
0.491,0.904,6,-4.324,1,0.0344,0.0985,0.0,0.183,0.588,150.007,211227,4,99,contemporary country**country**country road**modern country rock,Chris Lane,8/14/17
0.766,0.606,9,-6.064,1,0.456,0.00266,0.0,0.166,0.352,160.223,140000,4,70,cali rap**dfw rap**rap**trap**underground hip hop**vapor trap,Tay-K,8/21/17
0.806,0.77,1,-6.464,0,0.19,0.0252,0.0,0.0645,0.406,152.094,198110,4,76,florida rap**hip hop**melodic rap**miami hip hop**rap**southern hip hop**trap,Kodak Black,8/21/17
0.655,0.576,5,-6.735,0,0.0536,0.0295,0.115,0.132,0.167,139.953,228893,4,81,dance pop**pop**post-teen pop,Camila Cabello,8/21/17
0.491,0.588,1,-6.177,1,0.0506,0.0281,2.01e-06,0.0906,0.193,113.608,269600,4,82,dance pop**pop,P!nk,8/21/17
0.899,0.448,1,-8.789,1,0.0738,0.000692,2.36e-05,0.365,0.302,145.975,204787,4,84,hip hop**melodic rap**mississippi hip hop**pop rap**rap**southern hip hop**trap,Rae Sremmurd,8/21/17
0.739,0.536,1,-6.501,1,0.0587,0.00368,0.0,0.0968,0.193,122.022,236147,4,94,atl hip hop**dance pop**pop**pop r&b**pop rap**r&b**rap**urban contemporary,Jacquees,8/21/17
0.697,0.775,8,-6.664,1,0.083,0.0318,0.0,0.232,0.826,113.886,193792,4,95,pop**post-teen pop**social media pop,Sofia Carson,8/21/17
0.765,0.523,2,-4.333,1,0.03,0.184,3.56e-05,0.132,0.394,104.988,217307,4,99,dance pop**pop**post-teen pop,Camila Cabello,8/21/17
0.52,0.761,4,-3.093,1,0.0853,0.256,4.96e-06,0.17,0.286,141.971,180823,4,42,brostep**edm**pop**pop dance**progressive electro house,Marshmello,8/28/17
0.555,0.746,2,-5.522,1,0.033,0.00825,0.0,0.0796,0.712,75.01,154707,4,88,contemporary country**country**country road**modern country rock,Kip Moore,8/28/17
0.814,0.635,7,-6.609,0,0.0809,0.0935,0.0,0.0892,0.784,87.581,200774,4,92,dance pop**hip hop**pittsburgh rap**pop rap**rap**southern hip hop**trap,Wiz Khalifa,8/28/17
0.768,0.79,1,-5.091,1,0.191,0.0754,1.79e-06,0.13,0.398,84.95,180706,4,95,baton rouge rap**trap,YoungBoy Never Broke Again,8/28/17
0.638,0.634,6,-6.474,1,0.0468,0.214,0.0,0.0866,0.473,92.097,196422,4,97,contemporary country**country**texas country,Maren Morris,8/28/17
0.563,0.887,1,-5.013,1,0.0857,0.0297,0.0,0.352,0.794,158.05,188933,4,98,contemporary country**country**country road**modern country rock,Chris Janson,8/28/17
0.743,0.735,8,-5.337,1,0.0382,0.00389,0.0,0.304,0.631,104.979,189467,4,20,canadian pop**pop,Justin Bieber,9/4/17
0.89,0.633,11,-5.475,1,0.168,0.0232,0.000343,0.0993,0.425,139.948,233087,4,34,atl hip hop**dirty south rap**gangster rap**hip hop**pop rap**rap**southern hip hop**trap,Gucci Mane,9/4/17
0.747,0.524,10,-6.807,0,0.245,0.0306,0.0,0.2,0.363,140.053,213132,4,53,florida rap**hip hop**melodic rap**miami hip hop**rap**southern hip hop**trap,Kodak Black,9/4/17
0.766,0.709,9,-6.471,0,0.123,0.204,1.41e-05,0.126,0.506,128.07,211853,4,77,pop,Taylor Swift,9/4/17
0.548,0.873,4,-4.881,1,0.0618,0.00129,4.55e-05,0.138,0.328,121.918,248773,4,79,dance pop**pop**post-teen pop,Miley Cyrus,9/4/17
0.887,0.784,8,-5.598,1,0.199,0.0244,0.0,0.112,0.408,98.984,155193,4,80,social media pop,Ricegum,9/4/17
0.804,0.66,10,-4.86,0,0.0726,0.0319,0.0,0.103,0.257,94.053,169345,4,82,florida rap**hip hop**melodic rap**miami hip hop**rap**southern hip hop**trap,Kodak Black,9/4/17
0.614,0.598,10,-6.335,0,0.0561,0.00543,0.0,0.1,0.565,105.803,129478,4,90,dance pop**pop**pop rap**r&b**rap,Chris Brown,9/4/17
0.872,0.391,0,-9.144,0,0.242,0.469,4.13e-06,0.297,0.437,134.021,119133,4,31,emo rap**miami hip hop,XXXTENTACION,9/11/17
0.703,0.757,1,-3.612,1,0.05,0.617,0.0,0.106,0.696,82.008,221747,4,39,melodic rap**philly rap**rap**trap,Lil Uzi Vert,9/11/17
0.813,0.528,6,-6.305,0,0.313,0.0715,0.0,0.125,0.131,79.532,207039,4,49,melodic rap**philly rap**rap**trap,Lil Uzi Vert,9/11/17
0.734,0.57,7,-7.066,0,0.133,0.847,2.14e-05,0.112,0.689,129.953,95467,4,54,emo rap**miami hip hop,XXXTENTACION,9/11/17
0.791,0.513,10,-6.568,0,0.269,0.0235,2.83e-05,0.101,0.481,76.997,247347,4,60,melodic rap**philly rap**rap**trap,Lil Uzi Vert,9/11/17
